student_id,study_time_hours,attendance_percentage,assignments_completed,lms_clicks,forum_participation,sleep_hours,internet_usage_hours,previous_grade,final_grade
105,8,69,2,401,12,6.5,1.4,95,61.5
106,5,81,10,174,1,6.8,2.7,97,61.5
107,3,76,8,259,23,7.6,4.0,76,37.1
108,8,97,4,155,1,4.5,6.1,31,59.8
109,6,76,3,426,24,7.7,5.4,71,56.6
110,3,81,10,381,13,4.7,2.7,63,49.7
111,1,99,8,400,3,4.3,4.5,50,50.6
112,3,76,2,388,16,8.9,7.5,73,46.0
113,5,74,3,83,12,8.8,6.7,31,42.9
114,3,62,3,142,3,4.3,3.3,88,53.5
115,1,45,10,273,2,6.2,7.9,45,34.6
116,5,43,1,496,11,4.9,6.0,49,30.0
117,10,57,6,133,21,6.4,1.4,55,60.2
118,7,99,2,39,22,8.2,1.2,45,51.1
119,7,48,1,35,7,8.8,2.2,99,56.6
120,9,88,2,164,1,7.2,6.1,52,59.8
121,10,68,6,227,5,5.8,2.3,71,51.3
122,10,52,4,38,21,7.0,4.6,66,53.5
123,3,98,6,395,9,5.6,1.7,35,45.8
124,7,86,9,411,11,8.5,7.4,66,54.2
125,1,91,10,185,20,8.4,3.4,51,45.2
126,4,56,10,57,9,6.8,7.4,35,41.3
127,4,84,8,200,9,5.6,7.6,61,46.0
128,5,71,1,368,22,5.5,1.0,46,43.8
129,7,87,8,124,2,4.2,4.2,67,66.3
130,7,61,9,119,19,8.1,1.2,46,53.2
131,4,43,6,109,9,6.3,7.4,66,37.8
132,7,44,10,434,8,5.6,4.6,52,37.7
133,3,76,5,319,19,6.4,1.5,78,51.7
134,6,80,6,463,18,8.1,1.8,90,61.5
135,2,88,6,351,13,4.6,3.7,78,55.0
136,10,52,9,420,1,8.3,7.6,90,61.2
137,9,73,4,98,4,8.5,5.9,61,43.5
138,5,84,2,92,19,8.7,7.1,92,41.8
139,6,61,9,442,7,6.0,3.6,36,48.3
140,4,92,2,445,6,5.1,1.3,51,42.1
141,10,98,10,195,5,5.9,7.8,35,63.6
142,7,62,9,415,10,5.7,1.1,90,58.6
143,9,90,2,115,11,4.9,7.6,43,52.1
144,7,42,8,364,17,7.0,3.6,45,42.0
145,1,81,9,122,18,6.4,1.1,32,30.2
146,1,73,10,421,9,8.3,5.8,38,34.5
147,9,71,9,482,24,4.2,7.9,76,54.0
148,9,84,10,243,24,7.2,7.8,71,59.8
149,4,90,9,25,20,7.8,2.1,71,51.8
150,9,97,2,141,13,7.8,2.3,52,59.3
151,3,88,4,255,2,8.4,5.0,32,46.1
152,7,60,7,446,17,7.6,5.5,30,42.1
153,6,85,2,135,23,8.6,6.2,96,64.8
154,8,83,1,182,14,5.7,2.3,32,60.1
155,9,60,3,245,5,6.5,7.7,78,60.0
156,5,83,4,249,9,4.1,5.5,96,57.5
157,1,50,8,201,11,4.0,6.9,84,36.6
158,3,78,6,268,6,5.2,4.8,33,42.9
159,10,43,2,337,16,4.5,3.9,60,49.7
160,8,90,9,472,0,5.3,7.8,95,71.6
161,6,40,2,229,17,4.9,5.1,93,48.8
162,8,67,5,163,14,4.1,7.1,60,47.2
163,9,63,4,411,18,8.5,7.7,92,65.3
164,4,74,7,364,0,4.0,5.7,95,50.8
165,1,52,8,115,4,7.7,4.8,60,32.2
166,1,86,5,401,14,4.8,1.0,76,40.3
167,10,73,10,365,2,8.6,1.3,51,63.3
168,4,50,5,263,0,8.5,2.4,75,50.0
169,7,75,2,105,7,7.3,2.3,87,63.4
170,2,90,8,434,11,7.4,2.8,90,54.3
171,3,56,2,413,21,4.0,3.1,75,42.1
172,1,74,10,203,24,8.9,3.5,30,43.6
173,5,99,6,140,18,8.4,3.9,54,52.3
174,1,57,8,351,24,8.5,1.7,90,34.3
175,8,79,6,111,24,7.3,1.3,43,63.5
176,1,61,4,89,11,5.7,5.7,74,30.8
177,1,96,4,423,12,8.5,4.8,68,39.1
178,2,63,6,152,0,5.5,4.1,95,30.9
179,2,97,4,298,18,6.8,5.4,61,48.1
180,6,58,8,156,5,4.5,6.8,87,38.4
181,7,76,9,333,7,8.6,4.0,85,55.0
182,5,78,1,206,3,4.7,5.5,35,43.2
183,1,60,4,240,4,5.1,7.7,96,42.5
184,1,47,4,483,24,6.8,6.9,79,30.0
185,3,67,2,457,21,7.8,4.0,67,39.6
186,2,44,6,65,6,7.1,5.5,32,30.0
187,5,56,3,297,22,5.2,2.2,34,32.5
188,10,76,7,211,3,4.0,4.9,53,59.5
189,6,75,5,27,19,7.8,7.9,83,49.3
190,7,93,4,398,3,8.9,4.6,63,55.8
191,4,58,5,295,14,8.0,7.5,68,30.6
192,7,66,8,198,20,6.3,3.9,77,62.5
193,8,92,3,353,4,8.5,8.0,78,63.9
194,1,73,7,58,23,6.0,5.1,63,42.9
195,6,50,6,312,8,6.6,1.3,36,49.4
196,8,93,1,197,1,6.4,5.1,47,48.0
197,5,84,7,181,6,6.2,2.9,99,55.9
198,4,86,7,350,16,7.9,1.2,63,37.7
199,2,51,1,393,15,6.6,6.7,80,56.2
200,6,93,9,123,16,5.6,2.9,97,62.5
201,6,60,6,180,19,5.3,6.6,43,48.2
202,1,93,2,306,22,4.2,3.0,98,38.3
203,9,50,5,142,1,6.9,2.4,37,54.1
204,6,78,4,73,10,5.1,7.8,44,57.0
205,3,67,7,447,1,4.7,3.5,88,45.5
206,4,44,8,53,0,7.3,5.2,40,30.0
207,4,56,1,261,1,7.4,5.3,49,34.4
208,3,95,5,474,22,7.8,4.9,84,36.4
209,10,59,3,397,8,6.5,7.4,65,53.5
210,3,80,1,132,21,8.5,5.7,43,43.7
211,3,85,3,337,1,8.7,3.8,87,49.8
212,4,97,6,42,14,8.0,7.0,67,49.2
213,7,51,7,65,9,7.2,2.3,30,45.9
214,4,45,8,331,14,5.5,4.8,94,48.6
215,9,56,4,154,9,8.9,7.7,30,33.5
216,1,90,3,137,24,5.4,5.4,89,44.9
217,8,58,5,492,22,5.0,6.7,54,64.0
218,7,65,9,208,16,6.2,5.6,39,37.0
219,2,87,6,150,8,4.3,6.9,79,43.7
220,8,83,9,441,17,8.9,7.6,41,67.7
221,1,83,6,231,3,6.9,2.9,61,48.2
222,9,91,2,437,8,6.8,2.2,62,57.4
223,9,71,5,132,15,7.3,4.4,55,56.6
224,2,45,9,63,3,6.5,5.9,71,35.2
225,7,94,8,147,15,4.2,2.6,79,56.4
226,10,97,7,383,18,7.1,1.0,90,73.3
227,3,75,1,177,0,7.6,3.4,70,40.9
228,7,77,4,292,22,6.1,7.8,86,55.9
229,10,50,7,334,5,7.8,5.9,31,42.9
230,9,72,7,413,9,5.1,3.8,99,55.5
231,4,63,6,374,15,5.1,2.3,60,41.9
232,1,62,8,359,3,4.8,3.5,52,45.1
233,2,54,6,421,21,5.9,2.2,83,40.5
234,1,66,10,64,21,8.2,1.7,57,36.3
235,5,50,3,127,12,8.1,7.3,48,41.8
236,5,96,4,238,15,5.9,8.0,77,51.7
237,7,90,3,462,19,6.9,2.1,31,63.2
238,9,89,1,337,5,7.6,1.4,40,56.3
239,9,56,10,334,10,5.2,3.3,73,62.0
240,3,90,5,196,23,4.8,4.2,88,45.1
241,3,92,1,247,2,8.9,2.4,88,55.4
242,3,53,1,210,19,7.1,3.1,67,38.6
243,4,66,2,490,9,8.9,2.4,54,41.2
244,8,57,4,179,0,5.7,6.4,50,42.4
245,6,67,6,413,19,7.5,6.0,71,45.2
246,8,90,8,286,10,5.1,5.4,65,61.3
247,1,86,3,377,11,5.3,3.7,38,38.3
248,8,86,1,345,13,6.6,7.4,41,48.9
249,4,43,3,398,24,5.6,7.8,39,31.0
250,1,46,3,209,7,4.8,2.2,88,34.1
251,8,84,5,194,10,5.3,2.6,34,52.3
252,4,74,4,309,3,4.2,4.7,62,41.2
253,6,87,4,376,6,7.5,1.6,98,61.4
254,8,48,9,164,9,6.5,4.1,92,75.0
255,4,47,7,251,18,4.5,5.1,58,38.7
256,3,91,4,379,24,4.9,4.7,47,46.3
257,9,84,3,457,3,4.5,3.3,35,55.7
258,3,56,6,223,1,7.1,4.8,82,40.2
259,9,56,3,232,20,4.5,7.7,61,57.7
260,2,88,6,59,17,7.8,2.4,71,44.9
261,2,72,9,294,13,4.1,5.6,76,49.3
262,2,71,6,342,15,5.2,1.3,60,37.4
263,6,47,4,101,21,8.5,1.5,91,43.7
264,3,58,5,200,10,7.6,4.9,85,45.4
265,9,77,6,339,9,4.4,1.7,40,46.4
266,4,42,3,102,16,8.1,1.2,55,40.2
267,1,98,8,322,13,6.5,2.2,56,36.0
268,4,44,4,281,21,8.2,5.0,86,39.6
269,1,52,8,291,3,7.0,5.9,56,30.0
270,5,86,10,219,18,7.4,2.4,88,78.9
271,4,85,10,259,1,9.0,5.7,91,44.5
272,8,70,3,421,6,5.2,2.3,49,50.3
273,8,94,10,199,8,7.1,5.3,32,63.8
274,7,55,7,451,18,6.3,3.9,45,52.2
275,3,89,9,190,15,4.2,5.6,73,54.1
276,1,71,4,314,21,4.1,8.0,59,30.0
277,1,61,8,196,24,4.6,7.6,69,43.5
278,3,68,3,388,15,7.2,1.0,94,54.3
279,6,61,7,415,17,6.8,7.2,58,46.6
280,7,82,3,256,22,6.8,1.5,59,55.6
281,6,42,7,157,20,4.2,7.7,61,37.3
282,6,93,10,346,20,6.3,3.0,39,46.3
283,6,49,10,385,10,8.6,3.7,80,59.4
284,3,81,6,330,6,6.0,1.6,37,49.5
285,6,60,2,148,8,7.1,1.8,80,43.5
286,8,55,3,68,3,7.9,6.1,65,48.1
287,2,51,6,183,24,7.9,7.6,84,36.7
288,5,41,4,296,12,6.6,5.3,64,38.0
289,1,80,6,312,24,8.3,6.0,65,40.1
290,1,63,1,135,3,6.0,6.3,85,42.2
291,5,74,10,43,18,8.4,2.8,65,46.6
292,3,95,1,330,1,5.2,1.3,90,45.8
293,4,69,3,44,8,5.4,1.0,91,57.8
294,3,96,8,410,11,4.3,3.5,54,43.5
295,1,69,8,146,1,8.0,2.7,93,36.2
296,1,86,4,253,5,6.1,1.4,89,42.8
297,5,74,6,228,4,5.1,2.3,86,50.3
298,6,58,8,112,4,5.2,1.9,99,65.8
299,3,89,7,113,19,8.5,7.4,81,56.5
300,9,47,7,346,21,8.2,2.0,85,65.9
301,5,65,4,244,4,6.8,4.8,92,55.9
302,8,88,9,474,3,7.1,5.2,97,73.5
303,1,79,10,397,8,6.4,4.8,49,33.0
304,5,46,6,299,21,6.0,1.7,83,44.4
305,3,69,3,30,9,8.6,3.2,30,30.0
306,1,46,5,348,15,4.6,1.4,39,30.0
307,4,42,5,31,9,6.1,3.8,52,39.3
308,5,40,5,54,9,5.7,2.3,80,43.6
309,7,75,8,466,18,6.5,4.9,53,60.8
310,1,64,9,471,9,6.3,5.8,42,30.0
311,3,76,9,247,5,6.6,4.7,58,47.1
312,2,40,6,239,16,4.7,4.0,87,30.0
313,9,54,6,460,4,6.6,3.7,72,55.5
314,10,76,9,160,5,5.2,6.9,39,60.6
315,6,52,4,42,23,4.9,2.5,60,41.7
316,10,79,6,102,14,4.3,6.1,43,59.3
317,3,47,4,248,24,7.8,6.3,63,30.0
318,8,44,1,442,18,6.1,3.9,46,30.2
319,8,99,7,363,17,7.1,3.1,50,64.1
320,2,48,10,99,3,7.6,4.3,96,55.1
321,6,40,6,372,7,7.4,1.7,87,41.3
322,7,75,9,415,15,6.4,1.3,37,59.3
323,2,74,7,309,23,5.9,1.8,67,42.8
324,10,41,7,474,18,5.9,2.3,55,42.2
325,2,79,2,350,19,7.2,4.5,93,37.8
326,10,62,9,178,2,6.5,6.9,59,56.7
327,1,48,10,496,9,8.2,2.6,38,30.0
328,8,73,9,147,1,8.4,7.5,61,46.2
329,1,85,6,209,3,4.9,7.7,40,30.0
330,9,53,3,416,5,4.7,7.7,63,42.4
331,6,43,1,50,10,7.2,6.9,47,37.2
332,7,69,4,405,13,5.5,3.5,48,47.3
333,10,70,3,378,15,4.1,1.5,83,58.4
334,7,77,1,34,20,8.4,5.0,66,53.6
335,10,50,3,332,18,5.1,4.9,41,54.6
336,3,74,4,94,1,8.6,6.9,33,38.2
337,2,47,8,53,24,7.6,8.0,72,34.1
338,9,42,9,378,16,7.8,4.6,56,56.8
339,8,53,3,215,8,5.0,3.4,80,44.8
340,10,99,6,350,16,5.2,2.3,34,59.4
341,7,52,10,48,14,6.6,1.0,35,43.9
342,9,84,5,213,6,4.9,4.6,85,54.5
343,4,71,6,35,21,5.5,4.9,97,47.5
344,4,73,4,442,22,5.6,6.8,73,30.0
345,1,84,10,96,18,4.8,4.5,44,50.8
346,8,58,6,312,2,5.0,7.4,71,43.9
347,3,98,7,100,0,7.9,5.4,40,55.9
348,7,77,9,424,3,4.8,6.9,40,48.5
349,2,55,10,447,17,4.1,2.0,95,47.8
350,2,41,7,143,7,7.1,7.0,56,30.0
351,7,79,6,38,18,8.9,5.7,87,60.7
352,6,56,1,474,22,5.7,2.2,50,45.8
353,3,94,2,121,22,4.6,2.3,50,47.8
354,9,73,1,411,24,6.9,7.5,30,52.4
355,10,81,9,96,5,8.5,1.2,87,68.2
356,6,99,10,248,0,7.9,4.2,42,51.6
357,10,55,10,469,7,7.1,3.2,35,41.5
358,10,77,9,316,0,5.6,5.7,87,69.8
359,6,99,7,222,18,6.7,6.9,46,59.9
360,1,41,2,491,10,4.5,3.5,41,33.8
361,4,41,6,473,20,7.4,4.0,81,43.3
362,10,65,4,80,23,7.6,7.9,99,57.5
363,6,52,1,45,24,8.8,6.5,81,34.0
364,6,95,1,90,14,5.3,7.3,66,58.7
365,5,86,5,122,22,4.1,4.1,32,30.3
366,1,70,2,486,24,6.7,2.6,37,30.0
367,8,99,4,345,10,7.5,3.9,39,54.8
368,5,73,1,382,18,8.0,6.0,76,47.0
369,5,78,4,176,20,5.0,1.8,70,49.9
370,7,42,6,382,9,5.3,2.9,93,51.8
371,4,47,10,378,23,6.6,1.3,71,30.0
372,6,62,4,213,11,5.7,4.0,72,47.9
373,4,53,1,294,0,8.3,6.8,38,30.0
374,3,95,7,343,23,6.4,1.2,43,51.1
375,7,94,2,205,6,8.0,5.7,33,45.9
376,8,66,9,345,16,6.9,7.5,31,31.8
377,4,93,3,132,9,7.9,2.7,30,37.7
378,2,68,8,332,5,5.7,5.9,94,40.7
379,10,78,8,184,16,8.2,7.8,75,72.0
380,3,92,3,80,17,5.4,7.7,88,49.8
381,1,78,4,111,4,6.7,2.6,36,35.7
382,8,40,2,305,17,5.1,1.7,95,60.0
383,3,56,4,474,16,6.4,2.0,44,33.8
384,10,80,9,476,21,5.6,5.9,76,69.8
385,7,69,2,172,15,5.3,6.1,69,53.9
386,10,92,3,244,7,8.8,5.7,71,56.2
387,5,52,4,146,23,4.8,3.4,80,54.5
388,10,60,5,212,12,7.9,2.2,64,48.2
389,5,58,1,134,23,8.9,5.1,70,49.8
390,7,92,7,281,15,4.1,4.4,86,50.4
391,9,58,10,37,10,7.5,6.1,67,60.3
392,5,96,7,29,5,5.3,4.1,37,61.0
393,1,64,9,111,2,4.2,3.4,92,40.3
394,10,61,4,158,0,6.0,3.1,33,48.5
395,10,70,6,468,17,8.7,2.5,77,68.3
396,1,56,2,352,4,4.1,2.9,81,32.0
397,2,94,4,376,12,6.9,1.7,67,59.2
398,6,62,2,359,9,6.5,3.4,34,41.2
399,9,71,10,468,4,8.4,1.3,99,66.4
400,8,49,5,71,13,4.4,2.3,53,42.6
401,5,49,7,214,16,7.4,6.2,46,31.5
402,1,75,1,485,0,7.4,3.3,55,30.4
403,7,47,10,225,24,7.3,5.7,32,39.0
404,5,93,10,306,1,8.7,6.0,31,44.9
405,6,91,7,494,6,8.1,5.1,31,44.3
406,7,59,10,420,9,4.2,7.7,51,60.4
407,3,71,6,458,19,6.4,1.2,33,30.2
408,10,89,6,385,6,6.0,6.2,67,64.6
409,3,53,8,112,23,5.6,7.7,99,47.6
410,5,89,8,439,15,6.3,7.0,81,59.0
411,6,67,6,429,4,5.9,2.2,60,48.2
412,9,85,3,328,11,6.2,3.3,55,56.0
413,5,91,5,164,16,8.9,2.2,65,57.3
414,1,92,2,105,15,4.4,5.2,55,39.0
415,4,63,5,172,19,8.6,6.0,57,39.1
416,5,54,9,21,15,6.4,3.2,34,30.0
417,10,61,10,361,18,7.1,4.8,47,52.5
418,10,69,1,408,14,8.2,5.8,44,44.7
419,5,43,10,279,11,5.8,3.9,86,41.7
420,7,52,5,183,20,6.2,7.0,34,39.6
421,4,98,6,25,9,6.0,6.4,66,53.0
422,1,62,7,168,21,5.9,1.5,51,46.4
423,5,47,9,224,1,8.6,5.3,81,42.8
424,7,57,6,137,6,8.1,2.6,44,51.7
425,10,51,5,108,12,4.5,4.9,46,51.4
426,10,94,7,173,2,4.5,7.7,80,75.5
427,6,70,1,458,14,6.1,7.2,74,51.3
428,5,53,5,186,0,4.5,3.8,92,39.9
429,4,73,2,487,2,7.1,3.0,57,30.6
430,2,57,4,180,24,4.7,2.6,88,42.1
431,4,95,7,289,9,6.6,4.7,50,44.5
432,10,73,5,75,14,4.0,1.8,71,54.2
433,10,50,6,247,21,5.6,4.8,98,51.6
434,3,80,2,356,5,7.4,1.0,46,42.0
435,10,51,3,168,19,6.4,3.3,97,70.8
436,1,88,7,65,14,8.9,2.5,36,35.5
437,8,54,2,163,23,8.4,7.8,69,52.7
438,5,96,6,257,20,5.8,6.1,69,52.4
439,4,70,5,291,6,4.2,3.4,72,35.8
440,8,88,10,139,24,8.2,1.6,80,71.4
441,7,97,1,359,20,8.6,4.6,52,47.0
442,2,68,10,432,4,8.1,2.5,61,42.2
443,1,65,4,239,3,4.6,4.8,60,30.3
444,4,57,2,27,21,9.0,6.8,46,41.8
445,8,71,4,363,17,5.3,5.3,87,49.7
446,2,61,1,406,2,7.6,5.4,64,37.4
447,3,77,2,492,16,8.5,4.8,59,35.5
448,1,56,8,294,17,5.2,7.5,93,34.4
449,1,62,6,372,17,8.5,7.5,82,30.0
450,3,63,2,85,23,5.5,4.6,80,55.3
451,5,89,6,98,23,8.9,3.1,66,57.7
452,3,47,10,105,1,5.4,4.2,35,30.0
453,1,80,9,143,12,8.8,2.3,63,35.0
454,1,45,7,221,21,4.3,5.5,85,30.2
455,8,44,9,485,14,7.5,4.5,54,52.8
456,10,83,5,169,4,6.7,1.7,42,45.9
457,2,96,7,65,2,6.4,2.4,92,51.9
458,3,68,7,132,4,5.1,4.4,95,59.7
459,2,67,3,110,4,7.5,7.2,34,30.0
460,3,50,7,160,4,5.0,5.0,40,32.1
461,7,96,1,308,2,6.8,5.8,73,72.5
462,1,40,9,408,2,5.3,3.4,98,42.0
463,10,82,10,237,19,8.8,5.0,31,59.5
464,8,58,6,96,22,4.1,4.1,69,54.8
465,10,48,5,430,17,5.0,5.6,66,49.6
466,10,66,7,396,19,5.2,1.4,78,71.6
467,10,73,5,403,3,6.1,4.5,65,56.8
468,2,83,10,353,0,5.2,3.1,99,37.9
469,3,43,5,171,15,6.5,3.3,63,32.2
470,9,75,10,342,7,8.4,7.7,87,57.2
471,7,57,7,258,16,7.6,2.3,66,49.1
472,4,54,10,134,7,6.9,3.2,89,46.3
473,10,90,7,338,6,4.4,4.6,41,67.5
474,5,52,3,388,24,7.5,7.0,61,44.3
475,2,58,3,113,7,4.8,3.9,33,30.0
476,8,88,10,67,20,7.9,6.2,62,60.2
477,4,45,3,210,23,5.3,7.0,72,30.0
478,9,87,6,481,11,6.1,3.2,38,41.0
479,5,95,6,31,15,5.8,3.7,80,57.1
480,9,51,3,175,11,8.3,3.5,49,54.5
481,4,90,3,191,18,4.6,6.8,68,45.7
482,10,76,8,496,9,6.8,1.3,52,57.4
483,5,56,8,446,6,4.7,3.2,70,48.5
484,9,97,7,420,11,7.5,5.8,73,65.1
485,8,62,10,315,19,8.5,5.0,64,66.9
486,3,65,4,196,4,6.2,4.1,52,45.8
487,1,68,4,360,15,6.4,4.8,87,46.4
488,3,72,3,76,8,8.6,2.4,77,50.8
489,4,99,5,362,6,6.6,4.0,87,46.9
490,2,66,3,359,19,6.4,4.5,86,45.8
491,1,64,8,467,21,6.9,7.3,68,38.5
492,7,95,7,222,13,7.4,2.8,57,62.7
493,8,94,3,204,10,4.5,7.1,93,65.7
494,7,49,9,140,6,8.1,5.5,91,56.9
495,5,86,5,245,9,6.2,1.1,91,76.2
496,1,62,9,221,8,4.4,6.1,55,32.1
497,7,60,7,349,3,7.9,1.2,80,61.9
498,7,60,7,382,15,5.9,8.0,79,47.5
499,9,82,6,399,9,4.5,7.1,65,63.2
500,3,52,2,473,18,7.2,3.1,55,41.1
501,9,76,9,375,23,8.4,2.8,62,63.8
502,1,72,6,235,16,8.4,3.7,97,56.9
503,1,63,8,479,8,8.8,3.5,37,30.0
504,4,83,1,62,12,8.3,3.6,95,49.2
505,9,50,5,394,0,4.0,3.2,52,49.8
506,6,56,1,42,1,5.9,5.3,99,55.8
507,3,43,10,174,12,8.1,2.1,84,44.3
508,1,86,8,205,23,5.8,6.9,72,50.9
509,4,64,8,268,8,7.0,6.7,50,35.5
510,9,69,1,256,6,7.0,4.3,51,43.8
511,3,48,9,312,15,5.8,7.0,38,33.2
512,9,60,2,153,18,8.5,2.7,63,53.5
513,7,59,9,340,6,6.5,1.1,88,60.9
514,4,58,1,409,5,6.3,5.3,55,36.3
515,3,58,10,453,17,9.0,4.2,30,33.0
516,10,51,9,41,18,6.5,5.0,34,49.3
517,5,76,4,380,10,4.9,7.3,70,46.5
518,5,81,9,107,11,6.6,7.8,92,52.9
519,3,56,7,172,9,8.1,5.4,51,35.1
520,9,76,6,144,12,7.9,6.3,97,61.9
521,4,93,5,98,11,7.9,1.6,77,60.3
522,5,87,9,365,20,7.5,2.1,95,61.8
523,4,78,2,475,9,5.3,6.1,45,54.9
524,5,67,2,70,19,8.3,4.0,82,49.9
525,7,80,9,235,17,8.5,4.1,94,59.1
526,9,74,3,195,3,5.0,3.2,93,80.7
527,7,86,8,377,23,4.7,5.3,97,65.0
528,5,87,9,272,4,8.9,2.3,92,67.4
529,10,57,8,473,4,8.3,5.4,91,67.0
530,10,53,4,265,11,8.5,2.2,74,62.6
531,7,74,1,246,2,8.4,1.4,81,59.9
532,10,83,4,125,7,6.7,3.3,94,60.5
533,5,80,9,212,21,7.2,2.6,31,48.1
